Source Name	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Organism Part]	Term Source 2 REF	Term Source 2 Accession	Protocol REF	Protocol REF	Protocol REF	Assay Name	Experimental Condition [stretch duration]	Experimental Condition [ Nocodazole or DMSO]	Comment [Gene Identifier]	Comment [Gene Symbol]	Comment [Gene Annotation Comments]	Dataset Name	Image File	Comment [Image File Path]	Comment [Image File Comments]	Comment [Image File Type]	Channels	Protocol REF	Processed Data File
ExperimentB_No01_DMSO_23_control__034.lsm	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__034.lsm	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__034.lsm	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__035.lsm	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__035.lsm	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__035.lsm	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__036.lsm	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__036.lsm	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__036.lsm	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__037.lsm	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__037.lsm	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__037.lsm	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__038.lsm	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__038.lsm	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__038.lsm	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__039.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__039.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__039.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__001.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__001.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__001.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__002.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__002.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__002.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__003.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__003.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__003.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No02_DMSO_22_control__004.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No02_DMSO_22_control__004.czi	0h (control)	DMSO				Chamber_22	ExperimentB_No02_DMSO_22_control__004.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
